id,unitgroup_id,code,name
518,191,33393,International market agent/representative (e.g. junket operator)
519,191,33394,Safety and security consultant
520,191,33399,"Other business services agents n.e.c. (e.g. sports agent, artiste agent)"
521,192,33461,Logistics/production planner
522,,33462,Maintenance planner
523,193,33491,Management executive
524,,33492,Operations officer (except transport operations)
525,,33493,Crewing executive (ship)
526,,33499,Other administrative and related associate professionals n.e.c.
527,194,33510,Customs/Immigration officer
528,195,33551,Police inspector
529,,33552,Auxiliary police officer supervisor
530,196,33591,Government tax and excise official
531,,33592,Government social benefits official
532,,33593,Government licensing official
533,,33599,Other government associate professionals n.e.c.
534,197,22611,Air transport equipment project executive
535,,22612,Rail transport equipment project executive
536,,22613,Road transport equipment project executive
537,,22614,Water transport equipment project executive
538,,22619,Other transport equipment project executives
539,198,34110,Legal associate professional (e.g. paralegal)
540,199,34121,Youth work associate
541,,34122,Social work associate
542,,34123,Volunteer executive
543,200,34210,Athlete/Sportsman
544,201,34221,Sports coach
545,,34222,Martial arts instructor
546,,34223,Physical fitness instructor (including yoga instructor and aerobics instructor)
547,,34224,Sports official
548,,34229,Other related instructors and associate professionals (e.g. adventure training instructor and scuba diving instructor)
549,202,34310,Photographer
550,203,34321,Interior designer
551,,34322,"Decorator and related associate professional (e.g. window dresser, set designer)"
552,,34323,Visual merchandiser
553,204,34331,Library officer
554,,34332,"Gallery, museum and related technician"
555,205,34341,Chef
556,,34342,Kitchen operations head/supervisor
557,,34343,Pastry Chef
558,206,34391,Tattooist
559,,34399,Other artistic and cultural associate professionals n.e.c.
560,207,34401,Disc jockey
561,,34409,Other creative and performing arts associate professionals
562,208,35110,Computer systems operator
563,209,35121,IT Infrastructure technician
564,,35122,IT security technician
565,,35123,IT support technician (including IT user helpdesk technician)
566,,35129,Other computer technicians
567,210,35140,Website administrator/Webmaster
568,211,35211,Media and broadcasting operations technician
569,,35212,Video camera operator
570,,35213,Television/Motion picture camera operator
571,,35214,Radio and television studio equipment operator
572,,35215,Sound engineering technician
573,,35219,Other broadcasting technicians and audio-visual operators (e.g. microphone operator)
574,212,35220,Telecommunications technician
575,213,35231,Telecommunications service supervisor
576,,35232,Radio-telephone operator (land-based)
577,,35239,Other telecommunications equipment operators
578,214,35290,Optical and electronic equipment operator n.e.c.
579,215,36100,Pre-primary education teacher
580,216,36201,Language instructor (extracurriculum)
581,,36202,Art and craft instructor (extracurriculum)
582,,36203,Information technology trainer (extracurriculum)
583,,36204,Music instructor (extracurriculum)
584,,36205,Dance instructor (extracurriculum)
585,,36206,Speech and drama instructor (extracurriculum)
586,,36209,Other extracurriculum instructors
587,217,36910,Private tutor (academic)
588,218,36991,Relief teacher
589,,36999,Other teaching associate professionals n.e.c.
590,219,39910,Non-ordained religious associate professional
591,220,40000,Office supervisor
592,221,41101,Office clerk (including filing and copying)
593,,41102,Personnel/Human resource clerk
594,,41109,Other administrative clerks (e.g. public relations clerk)
595,222,41201,Secretary
596,,41202,Verbatim reporter
597,223,41310,Typists and word processing operator
598,224,41320,Data entry clerk
599,225,42111,Bank teller
600,,42112,Postal service counter clerk
601,,42113,Money changer
602,,42119,Other tellers and counter clerks
603,226,42131,Pawnbroker
604,,42132,Moneylender
605,227,42141,Bill collector
606,,42149,Other bill collectors and related workers
607,228,42210,Travel consultant/Reservation executive
608,229,42230,Telephone operator
609,230,42241,Receptionist (general)
610,,42242,Hotel receptionist (including hotel reservation and front desk clerk)
611,,42243,Medical/Dental receptionist
612,,42244,Passenger services agent
613,,42245,Customer service officer/clerk
614,,42246,Contact centre information clerk
615,,42247,Hotel executive (including hotel reservation and front desk executive)
616,,42249,Other receptionists and information clerks
617,231,42290,Client information clerk n.e.c.
618,232,43111,Bookkeeper
619,,43112,Ledger and accounts clerk
620,,43113,Audit clerk
621,,43114,Payroll/Wages clerk
622,,43115,Billing clerk
623,,43116,Procurement/purchasing clerk
624,,43119,Other accounting clerks (e.g. cost clerk)
625,233,43121,Bank operations clerk
626,,43122,Insurance/Underwriting clerk
627,,43123,Securities clerk
628,,43129,Other finance and insurance clerks (e.g. credit clerk)
629,234,43141,Statistical clerk
630,,43142,Enumerator/Market research interviewer
631,235,43151,Data processing control clerk
632,,43159,Other computer operations clerks
633,236,43211,Stock records clerk
634,,43212,Storekeeper
635,,43219,Other stock clerks
636,237,43221,Material planning clerk
637,,43222,Production planning clerk
638,,43229,Other production clerks
639,238,43231,Shipping clerk
640,,43232,Land transport clerk
641,,43233,Air transport clerk
642,,43234,Other transport clerks
643,239,44110,Library clerk
644,240,44121,Postal service supervisor
645,,44122,Postman
646,,44123,Process server
647,,44124,Other mail distribution workers (e.g. mail sorter)
648,241,44170,Legal clerk
649,242,44191,Proofreading clerk
650,,44199,Other clerical support workers n.e.c.
651,243,51111,Chief steward
652,,51112,Cabin attendant/steward
653,244,51121,Rail station service assistant
654,,51122,Ticket inspector
655,,51129,Other transport service inspectors and related workers
656,245,51131,Tour guide
657,,51132,Attractions guide
658,246,51201,Cook (e.g. commis cook 2/3)
659,,51202,"Senior cook (e.g. station chef, commis cook 1, station cook)"
660,247,51311,Captain waiter/Waiter supervisor
661,,51312,Waiter
662,,51313,Sommelier
663,248,51321,Bartender/Mixologist
664,,51322,Barista
665,249,51330,Bar/Lounge hostess
666,250,51390,Waiter and bartender n.e.c. (e.g. food checker (catering services))
667,251,51411,Hair stylist/Hairdresser
668,,51412,Barber
669,,51419,Other hair care workers (e.g. hair therapist/consultant)
670,252,51421,Beautician
671,,51422,Manicurist
672,,51423,"Make-up artist (stage, film and studio)"
673,253,51491,Masseur (non-medical) (including foot reflexologist)
674,,51492,Slimming consultant
675,,51499,Other wellness related workers n.e.c.
676,254,51501,Housekeeper (hotels and other establishments)
677,,51502,House steward
678,,51503,Housekeeping matron
679,,51504,Head butler (hotels and other establishments)
680,,51505,Butler (hotels and other establishments)
681,,51509,Other housekeepers and related workers
682,255,51701,"Gaming supervisor (e.g. pit manager/supervisor, slot manager/supervisor and casino shift manager/supervisor)"
683,,51702,Bookmaker/Croupier/Casino dealer and related gaming worker
684,256,51910,Astrologer/Fortune teller and related worker
685,257,51931,Undertaker
686,,51932,Embalmer
687,258,51941,Pet groomer
688,,51942,"Keeper/Trainer in zoological, bird and aquatic parks"
689,,51943,Horse trainer
690,,51944,Dog trainer
691,,51949,Other animal/bird keepers and animal care workers
692,259,51950,Driving instructor/tester
693,260,51991,Social escort
694,,51999,Other personal service workers n.e.c.
695,261,52110,Hawker/Stall holder (excluding prepared food or drinks)
696,262,52120,Hawker/Stall holder (prepared food or drinks)
697,263,52130,Newsvendor
698,264,52190,Other stall sales worker
699,265,52201,Sales supervisor
700,,52202,Shop sales assistant
701,266,52301,Cage/Count supervisor
702,,52302,Cashier (general)
703,,52303,Office cashier
704,,52309,"Other cashiers, ticket and related clerks"
705,267,52411,Fashion model
706,,52419,Other models (e.g. artist's model)
707,268,52421,Sales demonstrator
708,,52422,Salesperson (door-to-door)
709,269,52440,Telemarketer
710,270,52491,Petrol station attendant
711,,52492,Food service counter attendant
712,,52499,Sales workers n.e.c. (e.g. ship chandler)
713,271,53111,Babysitter/Infant care-giver
714,,53112,Confinement nanny
715,,53113,Child/After school care centre worker
716,,53114,Child/Youth residential care assistant
717,,53115,Educarer
718,272,53120,Teacher aide
719,273,53201,Healthcare assistant (e.g. therapy aide/assistant)
720,,53202,Nursing aide/assistant
721,,53203,Dental aide/assistant
722,,53209,"Other personal care workers (e.g. old folks' home, nursing home, home care)"
723,274,54110,Fire-fighting and rescue officer
724,275,54121,Police officer
725,,54122,Narcotics officer
726,,54123,Auxiliary police officer
727,276,54130,Prison officer
728,277,54141,Senior security supervisor
729,,54142,Security supervisor
730,,54143,Senior private security officer
731,,54144,Private security officer
732,278,54150,Lifeguard
733,279,54191,Private investigator
734,,54192,Industrial investigator
735,,54193,Insurance investigator
736,,54194,Park ranger
737,,54199,Other protective services and related workers n.e.c.
738,280,59000,Service worker n.e.c.
739,281,61110,Vegetable farm worker
740,282,61131,Landscape and plant nursery supervisor
741,,61132,Plant nursery worker
742,,61133,Gardeners and horticultural worker
743,283,61210,Livestock/Dairy farm worker
744,284,61221,Poultry farm worker
745,,61222,Poultry inseminator
746,285,61900,Agricultural worker n.e.c.
747,286,62211,Fish/Prawn farm worker
748,,62212,Aquarium fish farm worker
749,,62219,Other aquatic life cultivation workers (e.g. oyster farm worker)
750,287,62220,Coastal waters/Deep sea fishery worker
751,288,71000,Supervisor/General foreman (building and related trades)
752,289,71120,Bricklayer/Blocklayer
753,290,71130,"Stone cutter, splitter, carver and stonemason"
754,291,71141,Concrete form worker
755,,71142,Cement finisher/Screeder
